partido;nome;classificacao;posicao;cores
PSTU;PSTU;0.51;esquerda;#FF0000
UP;UP;0.60;esquerda;#FF1C1C
PCO;PCO;0.61;esquerda;#FF3939
PCB;PCB;0.91;esquerda;#FF5555
PSOL;PSOL;1.28;esquerda;#FF7272
PCdoB;PCdoB;1.92;esquerda;#FF8E8E
PT;PT;2.97;esquerda;#FFABAB
PDT;PDT;3.92;esquerda;#FFC7C7
PSB;PSB;4.05;esquerda;#FFE4E4
REDE;REDE;4.77;centro;#FFF4A6
PPS;PPS;4.92;centro;#D0FFA6
S.PART.;S.PART.;5.25;centro;#A6FFBB
PV;PV;5.29;centro;#A6FFD0
REPUBLICANOS;Republicanos;5.70;direita;#DFE4FF
PTB;PTB;6.1;direita;#D8DDFF
PP;PP;6.20;direita;#D2D9FF
AVANTE;AVANTE;6.32;direita;#CAD1FF
PSD;PSD;6.40;direita;#C4CCFF
SDD;SOLIDARIEDADE;6.5;direita;#BDC6FF
PMN;PMN;6.88;direita;#B6C0FF
PMB;PMB;6.9;direita;#B0BBFF
PHS;PHS;6.96;direita;#ABB6FF
MDB;MDB;7.01;direita;#A4B0FF
PSDB;PSDB;7.11;direita;#98A6FF
PODE;PODE;7.24;direita;#92A1FF
PL;PL;7.27;direita;#8B9BFF
PRTB;PRTB;7.45;direita;#8495FF
PROS;PROS;7.47;direita;#7D8FFF
PRP;PRP;7.59;direita;#7285FF
PR;PR;7.78;direita;#687CFF
PRB;PRB;7.78;direita;#6176FF
PTC;PTC;7.86;direita;#546BFF
DC;DC;8.11;direita;#4961FF
PSL;PSL;8.11;direita;#3752FF
NOVO;NOVO;8.13;direita;#2845FF
PSC;PSC;8.33;direita;#1535FF
PATRIOTA;PATRIOTA;8.55;direita;#1030FF
DEM;DEM;8.57;direita;#0022FF
