"uriProposicao";"siglaTipo";"numero";"ano";"codTema";"tema";"relevancia"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2238264";"CON";"1";"2020";"53";"Processo Legislativo e Atuação Parlamentar";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236292";"INC";"1";"2020";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2237748";"PFC";"1";"2020";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2237748";"PFC";"1";"2020";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236295";"PLP";"1";"2020";"62";"Ciência, Tecnologia e Inovação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236295";"PLP";"1";"2020";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236295";"PLP";"1";"2020";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2253052";"RCP";"1";"2020";"43";"Direito Penal e Processual Penal";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2253052";"RCP";"1";"2020";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2253052";"RCP";"1";"2020";"53";"Processo Legislativo e Atuação Parlamentar";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236222";"RIC";"1";"2020";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236222";"RIC";"1";"2020";"52";"Previdência e Assistência Social";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2238886";"SIT";"1";"2020";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2238886";"SIT";"1";"2020";"51";"Estrutura Fundiária";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2238763";"PLV";"1";"2020";"48";"Meio Ambiente e Desenvolvimento Sustentável";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236476";"PRC";"1";"2020";"53";"Processo Legislativo e Atuação Parlamentar";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236277";"PDL";"1";"2020";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236277";"PDL";"1";"2020";"62";"Ciência, Tecnologia e Inovação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236277";"PDL";"1";"2020";"46";"Educação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2261311";"CON";"2";"2020";"53";"Processo Legislativo e Atuação Parlamentar";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236303";"INC";"2";"2020";"64";"Agricultura, Pecuária, Pesca e Extrativismo";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236303";"INC";"2";"2020";"66";"Indústria, Comércio e Serviços";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236844";"PEC";"2";"2020";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236844";"PEC";"2";"2020";"58";"Trabalho e Emprego";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236238";"RIC";"2";"2020";"55";"Relações Internacionais e Comércio Exterior";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2257914";"SIT";"2";"2020";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2257914";"SIT";"2";"2020";"57";"Defesa e Segurança";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2239124";"PLV";"2";"2020";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2239124";"PLV";"2";"2020";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2237174";"PRC";"2";"2020";"53";"Processo Legislativo e Atuação Parlamentar";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236278";"PDL";"2";"2020";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236304";"INC";"3";"2020";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236620";"PLP";"3";"2020";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236620";"PLP";"3";"2020";"41";"Cidades e Desenvolvimento Urbano";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236620";"PLP";"3";"2020";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236244";"RIC";"3";"2020";"46";"Educação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2257997";"SIT";"3";"2020";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2257997";"SIT";"3";"2020";"58";"Trabalho e Emprego";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2238710";"PLV";"3";"2020";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2238710";"PLV";"3";"2020";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2238710";"PLV";"3";"2020";"52";"Previdência e Assistência Social";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2237694";"PRC";"3";"2020";"35";"Arte, Cultura e Religião";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2237694";"PRC";"3";"2020";"72";"Homenagens e Datas Comemorativas";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236279";"PDL";"3";"2020";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236330";"INC";"4";"2020";"61";"Viação, Transporte e Mobilidade";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236245";"RIC";"4";"2020";"46";"Educação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2258967";"SIT";"4";"2020";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2258967";"SIT";"4";"2020";"62";"Ciência, Tecnologia e Inovação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2258967";"SIT";"4";"2020";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2258967";"SIT";"4";"2020";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2241625";"PLV";"4";"2020";"58";"Trabalho e Emprego";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2237743";"PRC";"4";"2020";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2237743";"PRC";"4";"2020";"66";"Indústria, Comércio e Serviços";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236280";"PDL";"4";"2020";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236331";"INC";"5";"2020";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236331";"INC";"5";"2020";"61";"Viação, Transporte e Mobilidade";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2238156";"PEC";"5";"2020";"57";"Defesa e Segurança";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2238156";"PEC";"5";"2020";"43";"Direito Penal e Processual Penal";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236269";"PL";"5";"2020";"67";"Direito e Defesa do Consumidor";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236269";"PL";"5";"2020";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236783";"PLP";"5";"2020";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236247";"RIC";"5";"2020";"55";"Relações Internacionais e Comércio Exterior";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2261021";"SIT";"5";"2020";"35";"Arte, Cultura e Religião";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2261021";"SIT";"5";"2020";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2261021";"SIT";"5";"2020";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2261021";"SIT";"5";"2020";"52";"Previdência e Assistência Social";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2261021";"SIT";"5";"2020";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2237804";"PRC";"5";"2020";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2237804";"PRC";"5";"2020";"72";"Homenagens e Datas Comemorativas";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236307";"PDL";"5";"2020";"46";"Educação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236334";"INC";"6";"2020";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2238418";"PEC";"6";"2020";"68";"Direito Constitucional";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236270";"PL";"6";"2020";"46";"Educação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236249";"RIC";"6";"2020";"37";"Comunicações";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236249";"RIC";"6";"2020";"60";"Turismo";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2261258";"SIT";"6";"2020";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2261258";"SIT";"6";"2020";"48";"Meio Ambiente e Desenvolvimento Sustentável";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2237857";"PRC";"6";"2020";"53";"Processo Legislativo e Atuação Parlamentar";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236308";"PDL";"6";"2020";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236308";"PDL";"6";"2020";"46";"Educação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236363";"INC";"7";"2020";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2238473";"PEC";"7";"2020";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2238473";"PEC";"7";"2020";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236272";"PL";"7";"2020";"72";"Homenagens e Datas Comemorativas";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236272";"PL";"7";"2020";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236250";"RIC";"7";"2020";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2265170";"SIT";"7";"2020";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2265170";"SIT";"7";"2020";"64";"Agricultura, Pecuária, Pesca e Extrativismo";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2265170";"SIT";"7";"2020";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2250548";"PLV";"7";"2020";"41";"Cidades e Desenvolvimento Urbano";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2250548";"PLV";"7";"2020";"61";"Viação, Transporte e Mobilidade";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2238244";"PRC";"7";"2020";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236320";"PDL";"7";"2020";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236367";"INC";"8";"2020";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236273";"PL";"8";"2020";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2237045";"PLP";"8";"2020";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236251";"RIC";"8";"2020";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2266082";"SIT";"8";"2020";"67";"Direito e Defesa do Consumidor";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2266082";"SIT";"8";"2020";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2250655";"PLV";"8";"2020";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2250655";"PLV";"8";"2020";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2250655";"PLV";"8";"2020";"60";"Turismo";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2238541";"PRC";"8";"2020";"72";"Homenagens e Datas Comemorativas";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236321";"PDL";"8";"2020";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236396";"INC";"9";"2020";"57";"Defesa e Segurança";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236281";"PL";"9";"2020";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236281";"PL";"9";"2020";"61";"Viação, Transporte e Mobilidade";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2237331";"PLP";"9";"2020";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2237331";"PLP";"9";"2020";"66";"Indústria, Comércio e Serviços";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236252";"RIC";"9";"2020";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236252";"RIC";"9";"2020";"57";"Defesa e Segurança";"0"
